id,majorName,year,minScore,categoryID_id,collegeID_id,c1,c2,college_loc,provinceLoc,cityLoc,adcode,cityScore,c2code,majorScore,preRanking
0,计算机类,2020,622,2.0,10593,工学,计算机类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['0812'],80.0,25751
1,数学类,2020,621,2.0,10593,理学,数学类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['0701'],76.0,26493
2,机械类,2020,621,2.0,10593,工学,机械类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['0802'],73.0,26493
3,土木工程,2020,620,2.0,10593,工学,土木类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['0814'],80.0,27221
4,经济学类,2020,620,2.0,10593,经济学,经济学类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['0201'],75.79803921568627,27221
5,材料类,2020,619,2.0,10593,工学,材料类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['0805'],70.0,27959
6,工商管理类,2020,619,1.0,10593,管理学,工商管理类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['1202'],76.0,1981
7,化学工程与工艺,2020,618,2.0,10593,工学,化工与制药类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['0817'],83.0,28686
8,矿物资源工程,2020,618,2.0,10593,工学,矿业类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,"['0819', '0820']",75.79803921568627,28686
9,轻工类,2020,618,2.0,10593,工学,轻工类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['0822'],76.0,28686
10,建筑学,2020,618,2.0,10593,工学,建筑类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['0813'],75.79803921568627,28686
11,法学,2020,601,1.0,10593,法学,法学类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['0301'],70.0,4835
12,汉语言文学,2020,601,1.0,10593,文学,中国语言文学类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['0501'],73.0,4835
13,新闻传播学类,2020,601,1.0,10593,文学,新闻传播学类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['0503'],73.0,4835
14,哲学,2020,600,1.0,10593,哲学,哲学类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['0101'],70.0,5041
15,公共事业管理,2020,600,2.0,10593,管理学,公共管理类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['1204'],80.0,44162
16,外国语言文学类,2020,600,1.0,10593,文学,外国语言文学类,广西省南宁市,广西壮族自治区,南宁市,450100,41.02,['0502'],76.0,5041
17,计算机科学与技术,2020,647,2.0,10559,工学,计算机类,广东省广州市,广东省,广州市,440100,80.36,['0812'],83.0,10957
18,临床医学,2020,645,2.0,10559,医学,临床医学类,广东省广州市,广东省,广州市,440100,80.36,['1002'],76.0,11903
19,会计学,2020,645,2.0,10559,管理学,工商管理类,广东省广州市,广东省,广州市,440100,80.36,['1202'],86.0,11903
20,光电信息科学与工程,2020,644,2.0,10559,工学,电子信息类,广东省广州市,广东省,广州市,440100,80.36,"['0809', '0810']",76.4304054054054,12396
21,人工智能,2020,643,2.0,10559,工学,电子信息类,广东省广州市,广东省,广州市,440100,80.36,"['0809', '0810']",76.4304054054054,12897
22,物联网工程,2020,643,2.0,10559,工学,计算机类,广东省广州市,广东省,广州市,440100,80.36,['0812'],83.0,12897
23,网络空间安全,2020,643,2.0,10559,工学,计算机类,广东省广州市,广东省,广州市,440100,80.36,['0812'],83.0,12897
24,电气工程及其自动化,2020,642,2.0,10559,工学,电气类,广东省广州市,广东省,广州市,440100,80.36,['0808'],79.8608108108108,13368
25,生物科学,2020,641,2.0,10559,理学,生物科学类,广东省广州市,广东省,广州市,440100,80.36,['0710'],86.0,13884
26,生物医学工程,2020,641,2.0,10559,工学,生物医学工程类,广东省广州市,广东省,广州市,440100,80.36,['0831'],80.0,13884
27,工业工程,2020,641,2.0,10559,管理学,工业工程类,广东省广州市,广东省,广州市,440100,80.36,['1207'],79.8608108108108,13884
28,国际经济与贸易,2020,640,2.0,10559,经济学,经济与贸易类,广东省广州市,广东省,广州市,440100,80.36,['0202'],86.0,14443
29,应用化学,2020,640,2.0,10559,理学,化学类,广东省广州市,广东省,广州市,440100,80.36,['0703'],76.0,14443
30,法学,2020,639,1.0,10559,法学,法学类,广东省广州市,广东省,广州市,440100,80.36,['0301'],80.0,487
31,汉语国际教育,2020,638,1.0,10559,文学,中国语言文学类,广东省广州市,广东省,广州市,440100,80.36,['0501'],86.0,528
32,风景园林,2020,638,2.0,10559,工学,建筑类,广东省广州市,广东省,广州市,440100,80.36,['0813'],79.8608108108108,15517
33,生物制药,2020,638,2.0,10559,工学,生物工程类,广东省广州市,广东省,广州市,440100,80.36,['0838'],79.8608108108108,15517
34,财务管理,2020,638,1.0,10559,管理学,工商管理类,广东省广州市,广东省,广州市,440100,80.36,['1202'],86.0,528
35,商务英语,2020,637,2.0,10559,文学,外国语言文学类,广东省广州市,广东省,广州市,440100,80.36,['0502'],80.0,16139
36,土木工程,2020,637,2.0,10559,工学,土木类,广东省广州市,广东省,广州市,440100,80.36,['0814'],79.8608108108108,16139
37,药学,2020,630,2.0,10559,医学,药学类,广东省广州市,广东省,广州市,440100,80.36,['1007'],80.0,20308
38,会计学,2020,620,2.0,10559,管理学,工商管理类,广东省广州市,广东省,广州市,440100,80.36,['1202'],86.0,27221
39,法学,2020,618,1.0,10559,法学,法学类,广东省广州市,广东省,广州市,440100,80.36,['0301'],80.0,2080
40,电子商务,2020,618,2.0,10559,管理学,电子商务类,广东省广州市,广东省,广州市,440100,80.36,['1208'],79.8608108108108,28686
41,酒店管理,2020,617,1.0,10559,管理学,旅游管理类,广东省广州市,广东省,广州市,440100,80.36,['1209'],79.8608108108108,2213
42,历史学,2020,614,1.0,10559,历史学,历史学类,广东省广州市,广东省,广州市,440100,80.36,['0600'],79.5,2635
43,日语,2020,614,1.0,10559,文学,外国语言文学类,广东省广州市,广东省,广州市,440100,80.36,['0502'],80.0,2635
183679,波斯语,2020,623,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000,94.72,['0502'],90.0,1563
183715,阿拉伯语,2020,624,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000,94.72,['0502'],90.0,1479
183716,朝鲜语,2020,624,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000,94.72,['0502'],90.0,1479
183753,中国语言文学类(汉语国际教育、汉语言文学),2020,625,1.0,10036,文学,中国语言文学类,北京市,北京市,北京市,110000,94.72,['0501'],87.65384615384616,1401
183754,政治学类(国际政治、政治学与行政学),2020,625,1.0,10036,法学,政治学类,北京市,北京市,北京市,110000,94.72,['0302'],83.0,1401
183791,投资学,2020,626,1.0,10036,经济学,金融学类,北京市,北京市,北京市,110000,94.72,['0202'],93.0,1298
183814,意大利语,2020,627,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000,94.72,['0502'],90.0,1221
183815,葡萄牙语,2020,627,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000,94.72,['0502'],90.0,1221
183816,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,627,1.0,10036,管理学,工商管理类,北京市,北京市,北京市,110000,94.72,['1202'],93.0,1221
183817,保险学,2020,627,1.0,10036,经济学,金融学类,北京市,北京市,北京市,110000,94.72,['0202'],93.0,1221
183851,经济学类(国际经济与贸易、财政学、税收学),2020,628,1.0,10036,经济学,"财政学类,经济学类,经济与贸易类",北京市,北京市,北京市,110000,94.72,"['0202', '0201', '0202']",89.66666666666667,1146
183889,日语,2020,629,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000,94.72,['0502'],90.0,1077
183890,西班牙语,2020,629,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000,94.72,['0502'],90.0,1077
183940,德语,2020,630,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000,94.72,['0502'],90.0,989
183941,金融学类(金融学(国际金融与市场)、经济与金融),2020,630,1.0,10036,经济学,金融学类,北京市,北京市,北京市,110000,94.72,['0202'],93.0,989
183942,法学类(法学),2020,630,1.0,10036,法学,法学类,北京市,北京市,北京市,110000,94.72,['0301'],90.0,989
184018,法语,2020,632,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000,94.72,['0502'],90.0,840
184237,金融学,2020,637,1.0,10036,经济学,金融学类,北京市,北京市,北京市,110000,94.72,['0202'],93.0,568
184864,公共管理类(海关管理、行政管理、公共事业管理),2020,652,2.0,10036,管理学,公共管理类,北京市,北京市,北京市,110000,94.72,['1204'],83.0,8900
184865,电子商务类(电子商务、信息管理与信息系统),2020,652,2.0,10036,管理学,"电子商务类,管理科学与工程类",北京市,北京市,北京市,110000,94.72,"['1208', '1201']",87.65384615384616,8900
184908,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,653,2.0,10036,管理学,工商管理类,北京市,北京市,北京市,110000,94.72,['1202'],93.0,8491
184909,法学类(法学),2020,653,2.0,10036,法学,法学类,北京市,北京市,北京市,110000,94.72,['0301'],90.0,8491
184910,精算学,2020,653,2.0,10036,经济学,金融学类,北京市,北京市,北京市,110000,94.72,['0202'],93.0,8491
184959,日语,2020,654,2.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000,94.72,['0502'],90.0,8089
184960,西班牙语,2020,654,2.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000,94.72,['0502'],90.0,8089
185011,德语,2020,655,2.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000,94.72,['0502'],90.0,7724
185012,金融学,2020,655,2.0,10036,经济学,金融学类,北京市,北京市,北京市,110000,94.72,['0202'],93.0,7724
185013,数据科学与大数据技术,2020,655,2.0,10036,工学,计算机类,北京市,北京市,北京市,110000,94.72,['0812'],87.65384615384616,7724
185014,经济统计学,2020,655,2.0,10036,经济学,经济学类,北京市,北京市,北京市,110000,94.72,['0201'],83.0,7724
185060,金融工程,2020,656,2.0,10036,经济学,金融学类,北京市,北京市,北京市,110000,94.72,['0202'],93.0,7373
185084,法语,2020,657,2.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000,94.72,['0502'],90.0,7026
185155,经济学类(国际经济与贸易、财政学、税收学),2020,659,2.0,10036,经济学,"财政学类,经济与贸易类,经济学类",北京市,北京市,北京市,110000,94.72,"['0202', '0202', '0201']",89.66666666666667,6356
185156,金融学类(金融学(国际金融与市场)、经济与金融),2020,659,2.0,10036,经济学,金融学类,北京市,北京市,北京市,110000,94.72,['0202'],93.0,6356
185157,金融工程(量化金融实验班),2020,659,2.0,10036,经济学,金融学类,北京市,北京市,北京市,110000,94.72,['0202'],93.0,6356
200225,档案学,2020,598,1.0,10270,管理学,图书情报与档案管理类,上海市,上海市,上海市,310000,90.31,['1205'],77.83333333333333,5502
200227,地理科学（师范）,2020,599,1.0,10270,理学,地理科学类,上海市,上海市,上海市,310000,90.31,['0705'],70.0,5253
200230,法学,2020,602,1.0,10270,法学,法学类,上海市,上海市,上海市,310000,90.31,['0301'],70.0,4631
200234,工商管理类,2020,600,1.0,10270,管理学,工商管理类,上海市,上海市,上海市,310000,90.31,['1202'],77.83333333333333,5041
200239,公共管理类,2020,600,1.0,10270,管理学,公共管理类,上海市,上海市,上海市,310000,90.31,['1204'],77.83333333333333,5041
200245,古典文献学,2020,598,1.0,10270,文学,中国语言文学类,上海市,上海市,上海市,310000,90.31,['0501'],86.0,5502
200252,汉语国际教育,2020,600,1.0,10270,文学,中国语言文学类,上海市,上海市,上海市,310000,90.31,['0501'],86.0,5041
200260,汉语言文学（基地班）,2020,604,1.0,10270,文学,中国语言文学类,上海市,上海市,上海市,310000,90.31,['0501'],86.0,4240
200269,汉语言文学（师范）,2020,602,1.0,10270,文学,中国语言文学类,上海市,上海市,上海市,310000,90.31,['0501'],86.0,4631
200279,经济学,2020,602,1.0,10270,经济学,经济学类,上海市,上海市,上海市,310000,90.31,['0201'],77.83333333333333,4631
200290,经济学（中法合作）,2020,589,1.0,10270,经济学,经济学类,上海市,上海市,上海市,310000,90.31,['0201'],77.83333333333333,7989
200302,经济学（中美合作）,2020,590,1.0,10270,经济学,经济学类,上海市,上海市,上海市,310000,90.31,['0201'],77.83333333333333,7699
200315,历史学（师范）,2020,599,1.0,10270,历史学,历史学类,上海市,上海市,上海市,310000,90.31,['0600'],83.0,5253
200329,旅游管理类,2020,598,1.0,10270,管理学,旅游管理类,上海市,上海市,上海市,310000,90.31,['1209'],77.83333333333333,5502
200344,人力资源管理,2020,600,1.0,10270,管理学,工商管理类,上海市,上海市,上海市,310000,90.31,['1202'],77.83333333333333,5041
200360,日语,2020,598,1.0,10270,文学,外国语言文学类,上海市,上海市,上海市,310000,90.31,['0502'],76.0,5502
200377,社会工作,2020,599,1.0,10270,法学,社会学类,上海市,上海市,上海市,310000,90.31,['0303'],77.83333333333333,5253
200395,世界史,2020,601,1.0,10270,历史学,历史学类,上海市,上海市,上海市,310000,90.31,['0600'],83.0,4835
200414,思想政治教育,2020,598,1.0,10270,法学,马克思主义理论类,上海市,上海市,上海市,310000,90.31,['0305'],83.0,5502
200434,文化产业管理,2020,598,1.0,10270,管理学,工商管理类,上海市,上海市,上海市,310000,90.31,['1202'],77.83333333333333,5502
200455,小学教育,2020,604,1.0,10270,教育学,教育学类,上海市,上海市,上海市,310000,90.31,['0401'],86.0,4240
200477,新闻传播学类,2020,602,1.0,10270,文学,新闻传播学类,上海市,上海市,上海市,310000,90.31,['0503'],70.0,4631
200500,英语,2020,600,1.0,10270,文学,外国语言文学类,上海市,上海市,上海市,310000,90.31,['0502'],76.0,5041
200524,英语（师范）,2020,601,1.0,10270,文学,外国语言文学类,上海市,上海市,上海市,310000,90.31,['0502'],76.0,4835
200549,园艺（中荷合作）,2020,589,1.0,10270,农学,植物生产类,上海市,上海市,上海市,310000,90.31,['0901'],77.83333333333333,7989
200575,哲学,2020,599,1.0,10270,哲学,哲学类,上海市,上海市,上海市,310000,90.31,['0101'],80.0,5253
200602,地理科学类,2020,609,2.0,10270,理学,地理科学类,上海市,上海市,上海市,310000,90.31,['0705'],70.0,35994
200630,电子信息工程（中美合作）,2020,604,2.0,10270,工学,电子信息类,上海市,上海市,上海市,310000,90.31,"['0809', '0810']",77.83333333333333,40431
200659,电子信息类,2020,612,2.0,10270,工学,电子信息类,上海市,上海市,上海市,310000,90.31,"['0809', '0810']",77.83333333333333,33477
200689,工程管理,2020,609,2.0,10270,管理学,管理科学与工程类,上海市,上海市,上海市,310000,90.31,['1201'],77.83333333333333,35994
200720,工商管理类,2020,613,2.0,10270,管理学,工商管理类,上海市,上海市,上海市,310000,90.31,['1202'],77.83333333333333,32658
200752,化学（师范）,2020,618,2.0,10270,理学,化学类,上海市,上海市,上海市,310000,90.31,['0703'],80.0,28686
200785,化学类,2020,613,2.0,10270,理学,化学类,上海市,上海市,上海市,310000,90.31,['0806'],77.83333333333333,32658
200819,环境工程,2020,609,2.0,10270,工学,环境科学与工程类,上海市,上海市,上海市,310000,90.31,['0830'],80.0,35994
200854,机械设计制造及其自动化（中美合作）,2020,602,2.0,10270,工学,机械类,上海市,上海市,上海市,310000,90.31,['0802'],77.83333333333333,42274
200890,计算机科学与技术（师范）,2020,616,2.0,10270,工学,计算机类,上海市,上海市,上海市,310000,90.31,['0812'],73.0,30260
200927,计算机科学与技术（中法合作）,2020,603,2.0,10270,工学,计算机类,上海市,上海市,上海市,310000,90.31,['0812'],73.0,41377
200965,金融学类,2020,615,2.0,10270,经济学,金融学类,上海市,上海市,上海市,310000,90.31,['0202'],73.0,31039
201004,科学教育,2020,620,2.0,10270,教育学,教育学类,上海市,上海市,上海市,310000,90.31,['0401'],86.0,27221
201044,旅游管理类,2020,609,2.0,10270,管理学,旅游管理类,上海市,上海市,上海市,310000,90.31,['1209'],77.83333333333333,35994
201085,汽车服务工程（中德合作）,2020,597,2.0,10270,工学,机械类,上海市,上海市,上海市,310000,90.31,['0802'],77.83333333333333,47088
201127,生物科学类,2020,615,2.0,10270,理学,生物科学类,上海市,上海市,上海市,310000,90.31,['0710'],76.0,31039
201170,食品安全与检测,2020,612,2.0,10270,工学,食品科学与工程类,上海市,上海市,上海市,310000,90.31,['0832'],77.83333333333333,33477
201214,数学类,2020,619,2.0,10270,理学,数学类,上海市,上海市,上海市,310000,90.31,['0701'],83.0,27959
201259,数学与应用数学（数学金融AI实验班）,2020,617,2.0,10270,理学,数学类,上海市,上海市,上海市,310000,90.31,['0701'],83.0,29485
201305,土木工程（道桥工程）,2020,611,2.0,10270,工学,土木类,上海市,上海市,上海市,310000,90.31,['0814'],77.83333333333333,34290
201352,土木工程（中英合作）,2020,598,2.0,10270,工学,土木类,上海市,上海市,上海市,310000,90.31,['0814'],77.83333333333333,46111
201400,物理学,2020,618,2.0,10270,理学,物理学类,上海市,上海市,上海市,310000,90.31,['0702'],76.0,28686
201449,园艺（中荷合作）,2020,596,2.0,10270,农学,植物生产类,上海市,上海市,上海市,310000,90.31,['0901'],77.83333333333333,48117
201499,金融学类（经济管理类）,2020,657,2.0,10533,经济学,金融学类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0202'],84.3989898989899,7026
201550,建筑类（城筑城规类）,2020,645,2.0,10533,工学,建筑类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0813'],84.3989898989899,11903
201602,数学类（数学物理类）,2020,656,2.0,10533,理学,数学类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0701'],86.0,7373
201655,化工与制药类（化学生物环境类）,2020,621,2.0,10533,工学,化工与制药类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0817'],86.0,26493
201709,材料类（冶金材料类）,2020,639,2.0,10533,工学,材料类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0805'],90.0,14936
201764,土木类（土木安全类）,2020,617,2.0,10533,工学,土木类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0814'],90.0,29485
201820,交通运输类,2020,611,2.0,10533,工学,交通运输类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0823'],86.0,34290
201877,机械类,2020,640,2.0,10533,工学,机械类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0802'],90.0,14443
201935,能源动力类（能源类）,2020,652,2.0,10533,工学,能源动力类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0807'],80.0,8900
201994,电子信息类,2020,658,2.0,10533,工学,电子信息类,湖南省长沙市,湖南省,长沙市,430100,66.93,"['0809', '0810']",74.5,6676
202054,自动化类（自动化与电气类）,2020,654,2.0,10533,工学,"自动化类,电气类",湖南省长沙市,湖南省,长沙市,430100,66.93,"['0811', '0808']",81.5,8089
202115,计算机类（计算机通信类）,2020,661,2.0,10533,工学,计算机类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0812'],90.0,5753
202177,航空航天类,2020,659,2.0,10533,工学,航空航天类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0825'],84.3989898989899,6356
202240,软件工程,2020,658,2.0,10533,工学,计算机类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0812'],90.0,6676
202304,临床医学（八年制）,2020,679,2.0,10533,医学,临床医学类,湖南省长沙市,湖南省,长沙市,430100,66.93,['1002'],90.0,1784
202369,口腔医学（5+3）,2020,664,2.0,10533,医学,口腔医学类,湖南省长沙市,湖南省,长沙市,430100,66.93,['1003'],73.0,4878
202435,临床医学类（临床及口腔五年制医学类）,2020,662,2.0,10533,医学,临床医学类,湖南省长沙市,湖南省,长沙市,430100,66.93,['1002'],90.0,5463
202502,公共卫生与预防医学类（非临床五年制医学类）,2020,616,2.0,10533,医学,公共卫生与预防医学类,湖南省长沙市,湖南省,长沙市,430100,66.93,['1004'],80.0,30260
202570,医学技术类（医学四年类）,2020,636,2.0,10533,医学,医学技术类,湖南省长沙市,湖南省,长沙市,430100,66.93,['1010'],84.3989898989899,16698
202639,金融学类（经济管理类）,2020,628,1.0,10533,经济学,金融学类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0202'],84.3989898989899,1146
202709,法学类,2020,630,1.0,10533,法学,法学类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0301'],86.0,989
202780,中国语言文学类,2020,627,1.0,10533,文学,中国语言文学类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0501'],84.3989898989899,1221
202852,外国语言文学类,2020,627,1.0,10533,文学,外国语言文学类,湖南省长沙市,湖南省,长沙市,430100,66.93,['0502'],84.3989898989899,1221
203074,安全工程,2020,629,2.0,10491,工学,安全科学与工程类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0837'],83.0,20922
203150,宝石及材料工艺学,2020,631,2.0,10491,工学,材料类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0805'],80.0,19649
203227,材料类,2020,630,2.0,10491,工学,材料类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0805'],80.0,20308
203305,测绘类,2020,629,2.0,10491,工学,测绘类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0816'],83.0,20922
203384,大气科学,2020,628,2.0,10491,理学,大气科学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0706'],79.54591836734694,21581
203464,地理科学类,2020,633,2.0,10491,理学,地理科学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0705'],73.0,18475
203545,地球物理学类(地球物理与信息类),2020,631,2.0,10491,理学,地球物理学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0708'],80.0,19649
203627,地球物理学类(菁英班),2020,633,2.0,10491,理学,地球物理学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0708'],80.0,18475
203710,地质类,2020,629,2.0,10491,工学,地质类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0818'],96.0,20922
203794,地质类(资源能源),2020,629,2.0,10491,工学,地质类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0818'],96.0,20922
203879,地质学类(含国家理科基地班),2020,629,2.0,10491,理学,地质学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0709'],96.0,20922
203965,地质学类(菁英班),2020,636,2.0,10491,理学,地质学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0709'],96.0,16698
204052,电子信息类,2020,635,2.0,10491,工学,电子信息类,湖北省武汉市,湖北省,武汉市,420100,70.55,"['0809', '0810']",74.77295918367346,17277
204140,工商管理类,2020,630,2.0,10491,管理学,工商管理类,湖北省武汉市,湖北省,武汉市,420100,70.55,['1202'],80.0,20308
204229,管理科学与工程类,2020,630,2.0,10491,管理学,管理科学与工程类,湖北省武汉市,湖北省,武汉市,420100,70.55,['1201'],80.0,20308
204319,广播电视学,2020,632,2.0,10491,文学,新闻传播学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0503'],79.54591836734694,19083
204410,环境科学与工程类(环境地球科学类),2020,628,2.0,10491,工学,环境科学与工程类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0830'],86.0,21581
204502,机械类,2020,628,2.0,10491,工学,机械类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0802'],73.0,21581
204595,计算机类,2020,636,2.0,10491,工学,计算机类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0812'],83.0,16698
204689,经济学类,2020,635,2.0,10491,经济学,经济学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0201'],79.54591836734694,17277
204784,勘查技术与工程(勘查地球物理方向),2020,629,2.0,10491,工学,地质类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0818'],96.0,20922
204880,数学类,2020,629,2.0,10491,理学,数学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0701'],73.0,20922
204977,统计学,2020,629,2.0,10491,理学,统计学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0714'],70.0,20922
205075,土木类,2020,631,2.0,10491,工学,土木类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0814'],83.0,19649
205174,物理学,2020,632,2.0,10491,理学,物理学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0702'],70.0,19083
205274,英语,2020,632,2.0,10491,文学,外国语言文学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0502'],73.0,19083
205375,应用化学,2020,630,2.0,10491,理学,化学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0703'],73.0,20308
205477,自动化类,2020,628,2.0,10491,工学,自动化类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0811'],76.0,21581
205580,法学,2020,616,1.0,10491,法学,法学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0301'],79.54591836734694,2360
205684,工商管理类,2020,612,1.0,10491,管理学,工商管理类,湖北省武汉市,湖北省,武汉市,420100,70.55,['1202'],80.0,2903
205789,公共管理类,2020,611,1.0,10491,管理学,公共管理类,湖北省武汉市,湖北省,武汉市,420100,70.55,['1204'],86.0,3072
205895,广播电视学,2020,611,1.0,10491,文学,新闻传播学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0503'],79.54591836734694,3072
206002,思想政治教育,2020,616,1.0,10491,法学,马克思主义理论类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0305'],83.0,2360
206110,英语,2020,611,1.0,10491,文学,外国语言文学类,湖北省武汉市,湖北省,武汉市,420100,70.55,['0502'],73.0,3072
206219,机械类(创新班),2020,667,2.0,10561,工学,机械类,广东省广州市,广东省,广州市,440100,80.36,['0802'],90.0,4082
206329,信息工程(创新班),2020,666,2.0,10561,工学,电子信息类,广东省广州市,广东省,广州市,440100,80.36,"['0809', '0810']",84.5,4347
206440,计算机类,2020,666,2.0,10561,工学,计算机类,广东省广州市,广东省,广州市,440100,80.36,['0812'],86.0,4347
206552,经济学(创新班),2020,666,2.0,10561,经济学,经济学类,广东省广州市,广东省,广州市,440100,80.36,['0201'],83.81559011164275,4347
206665,电气工程及其自动化(卓越班),2020,665,2.0,10561,工学,电气类,广东省广州市,广东省,广州市,440100,80.36,['0808'],83.0,4594
206779,计算机科学与技术(全英创新班),2020,665,2.0,10561,工学,计算机类,广东省广州市,广东省,广州市,440100,80.36,['0812'],86.0,4594
206894,软件工程(卓越班),2020,665,2.0,10561,工学,计算机类,广东省广州市,广东省,广州市,440100,80.36,['0812'],86.0,4594
207010,自动化类,2020,665,2.0,10561,工学,自动化类,广东省广州市,广东省,广州市,440100,80.36,['0811'],86.0,4594
207127,信息工程,2020,664,2.0,10561,工学,电子信息类,广东省广州市,广东省,广州市,440100,80.36,"['0809', '0810']",84.5,4878
207245,城乡规划,2020,664,2.0,10561,工学,建筑类,广东省广州市,广东省,广州市,440100,80.36,['0813'],90.0,4878
207364,建筑学,2020,664,2.0,10561,工学,建筑类,广东省广州市,广东省,广州市,440100,80.36,['0813'],90.0,4878
207484,软件工程,2020,664,2.0,10561,工学,计算机类,广东省广州市,广东省,广州市,440100,80.36,['0812'],86.0,4878
207605,数学类,2020,664,2.0,10561,理学,数学类,广东省广州市,广东省,广州市,440100,80.36,['0701'],86.0,4878
207727,微电子科学与工程,2020,664,2.0,10561,工学,电子信息类,广东省广州市,广东省,广州市,440100,80.36,['0809'],83.0,4878
207850,机器人工程,2020,664,2.0,10561,工学,自动化类,广东省广州市,广东省,广州市,440100,80.36,['0811'],86.0,4878
207974,智能制造工程,2020,664,2.0,10561,工学,机械类,广东省广州市,广东省,广州市,440100,80.36,['0802'],90.0,4878
208099,风景园林,2020,663,2.0,10561,工学,建筑类,广东省广州市,广东省,广州市,440100,80.36,['0813'],90.0,5152
208225,工程力学(创新班),2020,663,2.0,10561,工学,力学类,广东省广州市,广东省,广州市,440100,80.36,['0801'],76.0,5152
208352,材料类,2020,662,2.0,10561,工学,材料类,广东省广州市,广东省,广州市,440100,80.36,['0805'],90.0,5463
208480,电气类,2020,662,2.0,10561,工学,电气类,广东省广州市,广东省,广州市,440100,80.36,['0808'],83.0,5463
208609,分子科学与工程,2020,662,2.0,10561,理学,化学类,广东省广州市,广东省,广州市,440100,80.36,['0703'],83.0,5463
